[2026-04-20T17:08:59.269Z] LOG   Scraping jobs...
[2026-04-20T17:09:52.501Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/7739445?gh_jid=7739445
[2026-04-20T17:09:52.515Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/7819738?gh_jid=7819738
[2026-04-20T17:09:52.567Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/6044374?gh_jid=6044374
[2026-04-20T17:09:52.755Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/5006631?gh_jid=5006631
[2026-04-20T17:09:53.603Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/6438205?gh_jid=6438205
[2026-04-20T17:09:53.690Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/6980117?gh_jid=6980117
[2026-04-20T17:09:53.754Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/6058901?gh_jid=6058901
[2026-04-20T17:09:53.769Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/7826288?gh_jid=7826288
[2026-04-20T17:09:53.769Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/6980102?gh_jid=6980102
[2026-04-20T17:09:54.827Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/6980154?gh_jid=6980154
[2026-04-20T17:09:54.866Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/6980098?gh_jid=6980098
[2026-04-20T17:09:54.875Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/6980150?gh_jid=6980150
[2026-04-20T17:09:54.972Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/4943958?gh_jid=4943958
[2026-04-20T17:09:55.360Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/7271761?gh_jid=7271761
[2026-04-20T17:09:56.159Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/6516039?gh_jid=6516039
[2026-04-20T17:09:56.188Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/7827229?gh_jid=7827229
[2026-04-20T17:09:56.232Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/7827190?gh_jid=7827190
[2026-04-20T17:09:56.340Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/7091231?gh_jid=7091231
